mix, iter, loglik_curr
0.000000000000000000e+00,0.000000000000000000e+00,-6.335259986820411541e+03
0.000000000000000000e+00,1.000000000000000000e+00,-5.719954260621527283e+03
0.000000000000000000e+00,2.000000000000000000e+00,-5.667590973445901909e+03
0.000000000000000000e+00,3.000000000000000000e+00,-5.636673354998090872e+03
0.000000000000000000e+00,4.000000000000000000e+00,-5.615969015327173111e+03
0.000000000000000000e+00,5.000000000000000000e+00,-5.600574428492816878e+03
0.000000000000000000e+00,6.000000000000000000e+00,-5.588098636950337095e+03
0.000000000000000000e+00,7.000000000000000000e+00,-5.577303308776452468e+03
0.000000000000000000e+00,8.000000000000000000e+00,-5.567522095295146755e+03
0.000000000000000000e+00,9.000000000000000000e+00,-5.558387014989715681e+03
0.000000000000000000e+00,1.000000000000000000e+01,-5.549690534518481400e+03
0.000000000000000000e+00,1.100000000000000000e+01,-5.541312937958981820e+03
0.000000000000000000e+00,1.200000000000000000e+01,-5.533183177603544209e+03
0.000000000000000000e+00,1.300000000000000000e+01,-5.525257570202595161e+03
0.000000000000000000e+00,1.400000000000000000e+01,-5.517508170421586328e+03
0.000000000000000000e+00,1.500000000000000000e+01,-5.509916414279808123e+03
0.000000000000000000e+00,1.600000000000000000e+01,-5.502469626343001437e+03
0.000000000000000000e+00,1.700000000000000000e+01,-5.495159074848494129e+03
0.000000000000000000e+00,1.800000000000000000e+01,-5.487978857272034475e+03
0.000000000000000000e+00,1.900000000000000000e+01,-5.480925227561467182e+03
0.000000000000000000e+00,2.000000000000000000e+01,-5.473996156708141825e+03
0.000000000000000000e+00,2.100000000000000000e+01,-5.467191016938784742e+03
0.000000000000000000e+00,2.200000000000000000e+01,-5.460510333082362195e+03
0.000000000000000000e+00,2.300000000000000000e+01,-5.453955572832432154e+03
0.000000000000000000e+00,2.400000000000000000e+01,-5.447528962031614356e+03
0.000000000000000000e+00,2.500000000000000000e+01,-5.441233318150638297e+03
0.000000000000000000e+00,2.600000000000000000e+01,-5.435071898406983564e+03
0.000000000000000000e+00,2.700000000000000000e+01,-5.429048260433733958e+03
0.000000000000000000e+00,2.800000000000000000e+01,-5.423166134099255942e+03
0.000000000000000000e+00,2.900000000000000000e+01,-5.417429303492956933e+03
0.000000000000000000e+00,3.000000000000000000e+01,-5.411841498441152908e+03
0.000000000000000000e+00,3.100000000000000000e+01,-5.406406295259020226e+03
0.000000000000000000e+00,3.200000000000000000e+01,-5.401127026770527664e+03
0.000000000000000000e+00,3.300000000000000000e+01,-5.396006701905398586e+03
0.000000000000000000e+00,3.400000000000000000e+01,-5.391047935377572685e+03
0.000000000000000000e+00,3.500000000000000000e+01,-5.386252888041961342e+03
0.000000000000000000e+00,3.600000000000000000e+01,-5.381623218507960701e+03
0.000000000000000000e+00,3.700000000000000000e+01,-5.377160046465683990e+03
0.000000000000000000e+00,3.800000000000000000e+01,-5.372863927972050078e+03
0.000000000000000000e+00,3.900000000000000000e+01,-5.368734842673504318e+03
0.000000000000000000e+00,4.000000000000000000e+01,-5.364772192639052264e+03
0.000000000000000000e+00,4.100000000000000000e+01,-5.360974812170223231e+03
0.000000000000000000e+00,4.200000000000000000e+01,-5.357340987669304013e+03
0.000000000000000000e+00,4.300000000000000000e+01,-5.353868486404801843e+03
0.000000000000000000e+00,4.400000000000000000e+01,-5.350554592828304521e+03
0.000000000000000000e+00,4.500000000000000000e+01,-5.347396150978038349e+03
0.000000000000000000e+00,4.600000000000000000e+01,-5.344389611453295402e+03
0.000000000000000000e+00,4.700000000000000000e+01,-5.341531081457275832e+03
0.000000000000000000e+00,4.800000000000000000e+01,-5.338816376476052938e+03
0.000000000000000000e+00,4.900000000000000000e+01,-5.336241072277826788e+03
0.000000000000000000e+00,5.000000000000000000e+01,-5.333800556067666548e+03
0.000000000000000000e+00,5.100000000000000000e+01,-5.331490075806095774e+03
0.000000000000000000e+00,5.200000000000000000e+01,-5.329304786883991255e+03
0.000000000000000000e+00,5.300000000000000000e+01,-5.327239795530839729e+03
0.000000000000000000e+00,5.400000000000000000e+01,-5.325290198510518167e+03
0.000000000000000000e+00,5.500000000000000000e+01,-5.323451118821891214e+03
0.000000000000000000e+00,5.600000000000000000e+01,-5.321717737266436416e+03
0.000000000000000000e+00,5.700000000000000000e+01,-5.320085319869310297e+03
0.000000000000000000e+00,5.800000000000000000e+01,-5.318549241242844801e+03
0.000000000000000000e+00,5.900000000000000000e+01,-5.317105004062592343e+03
0.000000000000000000e+00,6.000000000000000000e+01,-5.315748254887170333e+03
0.000000000000000000e+00,6.100000000000000000e+01,-5.314474796596018678e+03
0.000000000000000000e+00,6.200000000000000000e+01,-5.313280597746120293e+03
0.000000000000000000e+00,6.300000000000000000e+01,-5.312161799162174248e+03
0.000000000000000000e+00,6.400000000000000000e+01,-5.311114718077003999e+03
0.000000000000000000e+00,6.500000000000000000e+01,-5.310135850132754967e+03
0.000000000000000000e+00,6.600000000000000000e+01,-5.309221869540249827e+03
0.000000000000000000e+00,6.700000000000000000e+01,-5.308369627676232994e+03
0.000000000000000000e+00,6.800000000000000000e+01,-5.307576150377190061e+03
0.000000000000000000e+00,6.900000000000000000e+01,-5.306838634165670555e+03
0.000000000000000000e+00,7.000000000000000000e+01,-5.306154441621471051e+03
0.000000000000000000e+00,7.100000000000000000e+01,-5.305521096086472426e+03
0.000000000000000000e+00,7.200000000000000000e+01,-5.304936275869143174e+03
0.000000000000000000e+00,7.300000000000000000e+01,-5.304397808092937339e+03
0.000000000000000000e+00,7.400000000000000000e+01,-5.303903662312654888e+03
0.000000000000000000e+00,7.500000000000000000e+01,-5.303451944004056713e+03
0.000000000000000000e+00,7.600000000000000000e+01,-5.303040888015249948e+03
0.000000000000000000e+00,7.700000000000000000e+01,-5.302668852053056980e+03
0.000000000000000000e+00,7.800000000000000000e+01,-5.302334310264125634e+03
0.000000000000000000e+00,7.900000000000000000e+01,-5.302035846958699949e+03
0.000000000000000000e+00,8.000000000000000000e+01,-5.301772150514551868e+03
0.000000000000000000e+00,8.100000000000000000e+01,-5.301542007489696516e+03
0.000000000000000000e+00,8.200000000000000000e+01,-5.301344296964805835e+03
0.000000000000000000e+00,8.300000000000000000e+01,-5.301177985129714216e+03
0.000000000000000000e+00,8.400000000000000000e+01,-5.301042120122947381e+03
0.000000000000000000e+00,8.500000000000000000e+01,-5.300935827128570963e+03
0.000000000000000000e+00,8.600000000000000000e+01,-5.300858303730901753e+03
0.000000000000000000e+00,8.700000000000000000e+01,-5.300808815524414968e+03
0.000000000000000000e+00,8.800000000000000000e+01,-5.300786691973787129e+03
0.000000000000000000e+00,8.900000000000000000e+01,-5.300791322516805849e+03
0.000000000000000000e+00,9.000000000000000000e+01,-5.300822152901384470e+03
0.000000000000000000e+00,9.100000000000000000e+01,-5.300878681746571601e+03
0.000000000000000000e+00,9.200000000000000000e+01,-5.300960457316450629e+03
0.000000000000000000e+00,9.300000000000000000e+01,-5.301067074495089400e+03
0.000000000000000000e+00,9.400000000000000000e+01,-5.301198171950040887e+03
0.000000000000000000e+00,9.500000000000000000e+01,-5.301353429471432719e+03
0.000000000000000000e+00,9.600000000000000000e+01,-5.301532565473333307e+03
0.000000000000000000e+00,9.700000000000000000e+01,-5.301735334643650276e+03
0.000000000000000000e+00,9.800000000000000000e+01,-5.301961525728564084e+03
0.000000000000000000e+00,9.900000000000000000e+01,-5.302210959437084966e+03
0.000000000000000000e+00,1.000000000000000000e+02,-5.302483486450969394e+03
0.000000000000000000e+00,1.010000000000000000e+02,-5.302778985524673772e+03
0.000000000000000000e+00,1.020000000000000000e+02,-5.303097361659485614e+03
0.000000000000000000e+00,1.030000000000000000e+02,-5.303438544335199367e+03
0.000000000000000000e+00,1.040000000000000000e+02,-5.303802485781792711e+03
0.000000000000000000e+00,1.050000000000000000e+02,-5.304189159272399593e+03
0.000000000000000000e+00,1.060000000000000000e+02,-5.304598557417515622e+03
0.000000000000000000e+00,1.070000000000000000e+02,-5.305030690438724378e+03
0.000000000000000000e+00,1.080000000000000000e+02,-5.305485584398084029e+03
0.000000000000000000e+00,1.090000000000000000e+02,-5.305963279357056308e+03
0.000000000000000000e+00,1.100000000000000000e+02,-5.306463827435798521e+03
0.000000000000000000e+00,1.110000000000000000e+02,-5.306987290740334174e+03
0.000000000000000000e+00,1.120000000000000000e+02,-5.307533739120867722e+03
0.000000000000000000e+00,1.130000000000000000e+02,-5.308103247719865976e+03
0.000000000000000000e+00,1.140000000000000000e+02,-5.308695894262594265e+03
0.000000000000000000e+00,1.150000000000000000e+02,-5.309311756036127008e+03
